,Origin,Qty_Cancelled,Qty,CancelledRatio
0,PVU,1,2,50.0
1,PUB,1,3,33.33
2,DUT,611,2752,22.2
3,ORH,178,1281,13.9
4,ACK,57,662,8.61
5,ADK,21,280,7.5
6,ADQ,322,4298,7.49
7,VIS,149,1993,7.48
8,MKK,21,288,7.29
9,HPN,2903,41470,7.0
10,DLG,103,1645,6.26
11,CSG,379,6133,6.18
12,SUN,577,9373,6.16
13,MAZ,9,149,6.04
14,SCC,145,2416,6.0
15,BET,403,7041,5.72
16,CMI,700,12471,5.61
17,BTM,231,4175,5.53
18,PSG,239,4360,5.48
19,MOD,226,4206,5.37
20,WRG,230,4359,5.28
21,BRW,245,4678,5.24
22,APF,79,1541,5.13
23,AZO,915,18118,5.05
24,OTZ,307,6123,5.01
25,SPI,15,300,5.0
26,BMI,476,9547,4.99
27,ROA,819,16442,4.98
28,DBQ,294,6047,4.86
29,MEI,191,3941,4.85
30,LGA,32665,675980,4.83
31,PIA,757,15773,4.8
32,OME,298,6246,4.77
33,HTS,167,3565,4.68
34,RST,634,13596,4.66
35,AKN,95,2046,4.64
36,MQT,126,2720,4.63
37,BGR,982,21255,4.62
38,EVV,857,18888,4.54
39,CID,1630,36024,4.52
40,PWM,2414,53485,4.51
41,TRI,558,12360,4.51
42,LNY,13,289,4.5
43,GTR,208,4712,4.41
44,MCN,197,4468,4.41
45,CWA,8,182,4.4
46,FWA,1081,24558,4.4
47,CHA,776,17753,4.37
48,ERI,224,5127,4.37
49,BOS,31630,731691,4.32
50,FLO,132,3062,4.31
51,TOL,867,20251,4.28
52,TUP,26,609,4.27
53,HVN,69,1679,4.11
54,DCA,20977,515123,4.07
55,LSE,360,8889,4.05
56,AGS,476,12120,3.93
57,DHN,225,5789,3.89
58,AVL,639,16578,3.85
59,AVP,421,10960,3.84
60,ACV,467,12170,3.84
61,WYS,32,838,3.82
62,XNA,1877,49165,3.82
63,HKY,23,606,3.8
64,GSP,2256,59320,3.8
65,ATW,229,6044,3.79
66,ABY,161,4259,3.78
67,EKO,290,7685,3.77
68,LYH,119,3161,3.76
69,BQK,149,4016,3.71
70,EYW,251,6799,3.69
71,VLD,153,4159,3.68
72,BGM,179,4939,3.62
73,ILE,500,13827,3.62
74,ORD,73598,2045997,3.6
75,ABE,1059,29376,3.6
76,CHO,279,7813,3.57
77,MBS,696,19627,3.55
78,CEC,114,3223,3.54
79,GNV,249,7026,3.54
80,VCT,86,2445,3.52
81,SBN,545,15494,3.52
82,CAE,1522,43617,3.49
83,CRW,627,17962,3.49
84,GST,19,544,3.49
85,SWF,409,11745,3.48
86,RIC,3506,102020,3.44
87,MOB,813,24210,3.36
88,EWR,27128,811626,3.34
89,HSV,1515,45496,3.33
90,PHL,23201,705474,3.29
91,SCE,138,4245,3.25
92,ANC,4055,125382,3.23
93,TXK,263,8188,3.21
94,ROC,2936,91874,3.2
95,DLH,284,8862,3.2
96,FAY,221,6923,3.19
97,PFN,298,9359,3.18
98,GSO,2935,92179,3.18
99,JNU,856,27235,3.14
100,ITH,74,2373,3.12
101,MDT,1426,46156,3.09
102,FAI,992,32293,3.07
103,TVC,419,14074,2.98
104,LAN,684,23060,2.97
105,MSN,1268,42853,2.96
106,EFD,78,2649,2.94
107,DAY,2174,74005,2.94
108,BTV,1003,34300,2.92
109,PNS,1165,39868,2.92
110,DAL,7911,272398,2.9
111,MGM,338,11689,2.89
112,CDV,125,4359,2.87
113,BPT,214,7445,2.87
114,VPS,685,23881,2.87
115,IAD,14966,523282,2.86
116,GRB,818,28762,2.84
117,IYK,90,3170,2.84
118,ICT,1447,51202,2.83
119,DSM,1567,55556,2.82
120,FSM,330,11803,2.8
121,EUG,568,20399,2.78
122,LEX,971,34918,2.78
123,ACY,62,2266,2.74
124,SGF,842,30709,2.74
125,YAK,119,4360,2.73
126,MLI,471,17295,2.72
127,SHV,1080,39705,2.72
128,SPS,300,11013,2.72
129,GRK,211,7868,2.68
130,TWF,170,6354,2.68
131,CHS,1529,57230,2.67
132,BTR,1021,38324,2.66
133,ELM,63,2372,2.66
134,LCH,117,4422,2.65
135,GPT,541,20531,2.64
136,LNK,266,10202,2.61
137,ISO,18,695,2.59
138,GRR,1929,74392,2.59
139,CAK,674,26156,2.58
140,HLN,226,8760,2.58
141,MKE,2908,112692,2.58
142,SFO,18916,737352,2.57
143,TLH,499,19524,2.56
144,KTN,384,14972,2.56
145,GJT,293,11487,2.55
146,SJT,296,11666,2.54
147,HOU,8730,343964,2.54
148,BUF,3336,131953,2.53
149,SBA,1181,46868,2.52
150,RDU,7469,297178,2.51
151,CVG,17755,710917,2.5
152,AEX,226,9110,2.48
153,SYR,1839,74189,2.48
154,TYR,390,15813,2.47
155,JFK,10464,425412,2.46
156,LAW,274,11157,2.46
157,BFL,288,11811,2.44
158,CMH,5382,222480,2.42
159,MFR,438,18139,2.41
160,ATL,47466,1969800,2.41
161,CDC,68,2829,2.4
162,ILM,410,17056,2.4
163,FAR,444,18490,2.4
164,TYS,1303,54904,2.37
165,CLL,360,15169,2.37
166,OXR,124,5226,2.37
167,ACT,338,14281,2.37
168,LFT,336,14554,2.31
169,ORF,2795,121522,2.3
170,GGG,151,6616,2.28
171,SUX,22,966,2.28
172,PIT,10807,474210,2.28
173,SAV,1211,53928,2.25
174,MLB,293,13079,2.24
175,FSD,488,21859,2.23
176,COS,1591,71404,2.23
177,MRY,586,26414,2.22
178,DTW,19068,865620,2.2
179,DFW,39982,1825327,2.19
180,SNA,5891,272321,2.16
181,PIH,123,5684,2.16
182,AMA,908,42033,2.16
183,ABI,287,13370,2.15
184,JAC,300,14025,2.14
185,BDL,4443,211118,2.1
186,PHF,350,16679,2.1
187,LAX,26999,1306931,2.07
188,CLT,14324,695303,2.06
189,DAB,330,16047,2.06
190,RDM,169,8329,2.03
191,MLU,265,13121,2.02
192,ALB,1959,97517,2.01
193,ISP,1336,66858,2.0
194,SMX,127,6388,1.99
195,DRO,63,3164,1.99
196,MHT,2240,112979,1.98
197,RDD,122,6236,1.96
198,TUL,2517,128139,1.96
199,PVD,3345,172589,1.94
200,FAT,943,48538,1.94
201,CRP,754,39014,1.93
202,GTF,336,17369,1.93
203,MEM,5855,305270,1.92
204,FNT,401,21010,1.91
205,LIT,1833,95775,1.91
206,MSP,16277,860494,1.89
207,IDA,183,9669,1.89
208,IND,4355,232619,1.87
209,MIA,7438,398266,1.87
210,MYR,534,28792,1.85
211,CIC,60,3240,1.85
212,CLD,117,6356,1.84
213,JAN,1069,58121,1.84
214,SJC,7071,387561,1.82
215,HRL,558,30819,1.81
216,LRD,192,10582,1.81
217,LBB,909,50568,1.8
218,CLE,7640,426186,1.79
219,PSP,965,53887,1.79
220,OKC,2269,128498,1.77
221,MAF,782,44273,1.77
222,GFK,92,5214,1.76
223,DEN,15278,870033,1.76
224,SBP,382,21785,1.75
225,MSY,5188,297625,1.74
226,STL,11939,692495,1.72
227,SEA,10807,628850,1.72
228,PSC,241,14135,1.7
229,CPR,152,8918,1.7
230,SDF,2123,129901,1.63
231,BUR,2640,162243,1.63
232,BRO,96,5889,1.63
233,FCA,219,13413,1.63
234,SRQ,499,30786,1.62
235,PDX,5314,329491,1.61
236,BWI,9346,590007,1.58
237,SAT,3598,229463,1.57
238,SAN,7589,487463,1.56
239,COD,43,2786,1.54
240,GEG,1234,80414,1.53
241,PHX,16216,1061781,1.53
242,AUS,3766,247362,1.52
243,BHM,1815,119874,1.51
244,PBI,2282,151304,1.51
245,EGE,110,7281,1.51
246,STX,58,3887,1.49
247,MSO,266,17996,1.48
248,MCI,5188,354691,1.46
249,ONT,3107,212193,1.46
250,FLL,5091,350294,1.45
251,JAX,2330,161567,1.44
252,HDN,62,4322,1.43
253,BIL,347,24350,1.43
254,MCO,8571,601116,1.43
255,OMA,1673,118210,1.42
256,SJU,2119,151837,1.4
257,MDW,5979,427105,1.4
258,MTJ,114,8229,1.39
259,LWS,9,669,1.35
260,RAP,216,16199,1.33
261,TPA,5498,413538,1.33
262,BNA,4398,338793,1.3
263,TUS,1450,111637,1.3
264,RSW,1465,113824,1.29
265,STT,246,19026,1.29
266,SLC,8298,651707,1.27
267,BIS,138,10955,1.26
268,SIT,100,7980,1.25
269,MOT,81,6515,1.24
270,GUC,16,1289,1.24
271,IAH,12147,978530,1.24
272,SGU,109,8892,1.23
273,LGB,519,42913,1.21
274,OAK,4725,389908,1.21
275,LIH,341,28487,1.2
276,ELP,1554,129861,1.2
277,LAS,10148,873350,1.16
278,RNO,1898,166869,1.14
279,MFE,225,19694,1.14
280,MIB,1,89,1.12
281,BZN,208,19323,1.08
282,BOI,872,83134,1.05
283,OGG,610,58856,1.04
284,ABQ,2205,219632,1.0
285,SMF,2613,264614,0.99
286,PIE,49,5258,0.93
287,HNL,1271,151727,0.84
288,BQN,18,2167,0.83
289,KOA,208,27280,0.76
290,YUM,29,3871,0.75
291,IPL,15,2190,0.68
292,ITO,70,10646,0.66
293,LWB,4,700,0.57
294,PSE,1,197,0.51
